body diag: graph_backend=kuzu seconds=3600 stamp=20260706_001536
cycle rate (steady window): 2.87 cycles/s  (44 -> 10360 cycles over 3593.4s)
  t=2461.5s cycles=8227
  t=2474.1s cycles=8251
  t=2486.2s cycles=8278
  t=2500s cycles=8302
  t=2510.6s cycles=8323
  t=2523.7s cycles=8347
  t=2535.3s cycles=8375
  t=2549.9s cycles=8401
  t=2562.6s cycles=8427
  t=2573.3s cycles=8451
  t=2583.9s cycles=8473
  t=2595s cycles=8496
  t=2606.1s cycles=8517
  t=2620.2s cycles=8537
  t=2631.3s cycles=8565
  t=2642.1s cycles=8587
  t=2652.3s cycles=8607
  t=2663.9s cycles=8625
  t=2674.4s cycles=8650
  t=2687.4s cycles=8674
  t=2700.8s cycles=8702
  t=2710.9s cycles=8721
  t=2723.7s cycles=8743
  t=2737s cycles=8771
  t=2751.2s cycles=8799
  t=2762.3s cycles=8818
  t=2775.3s cycles=8845
  t=2786.1s cycles=8868
  t=2798.7s cycles=8894
  t=2810.1s cycles=8912
  t=2821.1s cycles=8933
  t=2832.7s cycles=8959
  t=2844.5s cycles=8985
  t=2855.8s cycles=9005
  t=2867.1s cycles=9028
  t=2877.8s cycles=9052
  t=2888.4s cycles=9075
  t=2902.5s cycles=9098
  t=2915.6s cycles=9124
  t=2927.2s cycles=9151
  t=2938.3s cycles=9172
  t=2948.8s cycles=9193
  t=2962s cycles=9213
  t=2973.1s cycles=9240
  t=2987s cycles=9266
  t=2998s cycles=9289
  t=3011.4s cycles=9310
  t=3022.5s cycles=9336
  t=3033.1s cycles=9358
  t=3046.5s cycles=9377
  t=3060.7s cycles=9400
  t=3071.5s cycles=9426
  t=3083.5s cycles=9448
  t=3095.5s cycles=9469
  t=3108.7s cycles=9489
  t=3122.2s cycles=9516
  t=3133.6s cycles=9538
  t=3145.4s cycles=9557
  t=3158.9s cycles=9579
  t=3169.6s cycles=9602
  t=3182.4s cycles=9625
  t=3194.5s cycles=9644
  t=3209.6s cycles=9663
  t=3220.4s cycles=9689
  t=3232.6s cycles=9711
  t=3246.4s cycles=9731
  t=3257.5s cycles=9754
  t=3270.5s cycles=9776
  t=3281.7s cycles=9801
  t=3292.4s cycles=9819
  t=3306.1s cycles=9837
  t=3318.8s cycles=9865
  t=3333.2s cycles=9889
  t=3345.2s cycles=9907
  t=3358.8s cycles=9929
  t=3372.4s cycles=9956
  t=3383.3s cycles=9978
  t=3394.4s cycles=9996
  t=3408s cycles=10017
  t=3419.3s cycles=10040
  t=3430.6s cycles=10061
  t=3444.7s cycles=10082
  t=3458.3s cycles=10105
  t=3470.3s cycles=10130
  t=3482.6s cycles=10154
  t=3495.8s cycles=10172
  t=3508.9s cycles=10197
  t=3523s cycles=10221
  t=3534.2s cycles=10242
  t=3545.8s cycles=10258
  t=3559.3s cycles=10277
  t=3570.3s cycles=10301
  t=3581.6s cycles=10320
  t=3592.7s cycles=10338
  t=3604.4s cycles=10360
body budget (last 3):
[body] budget ms/obs: physics=7.8 vision=4.9 views=7.4 audio=0.0 send=459.8
[body] budget ms/obs: physics=8.6 vision=4.7 views=7.4 audio=0.0 send=372.9
[body] budget ms/obs: physics=10.2 vision=5.0 views=7.4 audio=0.0 send=510.1
store telemetry:
  "commit_lag_ms":  67.73410001187585
  "ltm_match_ms":  0.09169999975711107
  "sqlite_commit_count":  2601
  "sqlite_batch_commit_count":  2601
  "sqlite_last_commit_ms":  49.38059998676181
  "plasticity_pc_ema":  0.7985849974839294
  "awake_neurons":  1232
  "growth_events":  2
  "graph_flush_ms":  38541.121299989754
  "graph_flush_lock_ms":  1.343400013865903
  "graph_flush_queue_depth":  4
  "graph_flush_rows":  39161
  "graph_flush_stmts":  2536
  "graph_flush_error_batches":  0
  "kuzu_vector_index_rebuilds":  0
  "awake_neurons":  1232
memory accumulation (first 2 vs last 2 samples -- watch recall_ms/ltm_match_ms/ltm_nodes):
  agent_id=d5b16069-6bb5-485f-a06b-c26d228cb96d cycle=200 wall_ms=226.6 recall_ms=0.000 ltm_match_ms=0.051 ltm_nodes=14 ltm_edges=177 ltm_beliefs=217 ltm_db_bytes=4096 episodic_db_bytes=0"}
  agent_id=d5b16069-6bb5-485f-a06b-c26d228cb96d cycle=400 wall_ms=197.3 recall_ms=0.000 ltm_match_ms=0.117 ltm_nodes=14 ltm_edges=231 ltm_beliefs=217 ltm_db_bytes=4096 episodic_db_bytes=225507"}
  ...
  agent_id=d5b16069-6bb5-485f-a06b-c26d228cb96d cycle=10000 wall_ms=541.8 recall_ms=0.000 ltm_match_ms=0.078 ltm_nodes=22 ltm_edges=1813 ltm_beliefs=556 ltm_db_bytes=93863936 episodic_db_bytes=9088622"}
  agent_id=d5b16069-6bb5-485f-a06b-c26d228cb96d cycle=10200 wall_ms=489.5 recall_ms=0.000 ltm_match_ms=0.100 ltm_nodes=22 ltm_edges=1830 ltm_beliefs=556 ltm_db_bytes=93863936 episodic_db_bytes=9088622"}
