body diag: graph_backend=kuzu seconds=3600 stamp=20260705_205503
cycle rate (steady window): 2.91 cycles/s  (40 -> 10494 cycles over 3588.7s)
  t=11.9s cycles=40
  t=22.7s cycles=92
  t=33.8s cycles=147
  t=44.2s cycles=189
  t=54.8s cycles=235
  t=66s cycles=261
  t=77.4s cycles=304
  t=87.7s cycles=337
  t=97.8s cycles=367
  t=107.8s cycles=404
  t=119.4s cycles=447
  t=131.7s cycles=489
  t=142.8s cycles=527
  t=152.8s cycles=561
  t=163s cycles=601
  t=174s cycles=644
  t=184s cycles=677
  t=194.3s cycles=710
  t=205.8s cycles=749
  t=217.5s cycles=794
  t=230s cycles=837
  t=240.5s cycles=872
  t=252.4s cycles=910
  t=263.5s cycles=955
  t=274.4s cycles=996
  t=284.9s cycles=1030
  t=297s cycles=1066
  t=307s cycles=1106
  t=317.1s cycles=1144
  t=327.1s cycles=1179
  t=337.6s cycles=1212
  t=349.3s cycles=1248
  t=359.4s cycles=1288
  t=371.2s cycles=1330
  t=382.4s cycles=1367
  t=393.2s cycles=1399
  t=404s cycles=1439
  t=415.2s cycles=1483
  t=428.5s cycles=1524
  t=440.9s cycles=1558
  t=452.7s cycles=1603
  t=463s cycles=1646
  t=474.6s cycles=1689
  t=485.5s cycles=1723
  t=496.5s cycles=1759
  t=507.6s cycles=1798
  t=517.6s cycles=1835
  t=529.5s cycles=1874
  t=539.6s cycles=1905
  t=549.7s cycles=1940
  t=560.1s cycles=1983
  t=570.7s cycles=2034
  t=582.8s cycles=2076
  t=593.3s cycles=2124
  t=604.6s cycles=2173
  t=616s cycles=2231
  t=626.7s cycles=2271
  t=637.8s cycles=2320
  t=648.3s cycles=2371
  t=659.5s cycles=2425
  t=671.5s cycles=2468
  t=681.6s cycles=2507
  t=691.6s cycles=2549
  t=703.2s cycles=2596
  t=714.4s cycles=2645
  t=725.9s cycles=2687
  t=737.5s cycles=2740
  t=749s cycles=2788
  t=760.1s cycles=2832
  t=770.5s cycles=2874
  t=782s cycles=2927
  t=793.4s cycles=2982
  t=804.4s cycles=3030
  t=815.2s cycles=3073
  t=826.8s cycles=3125
  t=836.9s cycles=3177
  t=847.7s cycles=3219
  t=859.3s cycles=3260
  t=869.7s cycles=3311
  t=881.6s cycles=3357
  t=893.4s cycles=3405
  t=905.1s cycles=3450
  t=916.8s cycles=3507
  t=928.4s cycles=3557
  t=940.5s cycles=3604
  t=951.8s cycles=3653
  t=963s cycles=3705
  t=973.9s cycles=3752
  t=986.4s cycles=3798
  t=998.5s cycles=3836
  t=1009.5s cycles=3887
  t=1021.4s cycles=3925
  t=1032s cycles=3958
  t=1044.1s cycles=3991
  t=1055.3s cycles=4040
  t=1067.3s cycles=4084
  t=1077.3s cycles=4120
  t=1089.3s cycles=4159
  t=1099.5s cycles=4200
  t=1109.6s cycles=4234
  t=1120.5s cycles=4276
  t=1131.1s cycles=4319
  t=1141.2s cycles=4354
  t=1152.7s cycles=4398
  t=1164.8s cycles=4438
  t=1178s cycles=4474
  t=1190.3s cycles=4516
  t=1201.8s cycles=4560
  t=1212.2s cycles=4605
  t=1222.2s cycles=4643
  t=1234s cycles=4683
  t=1244.1s cycles=4717
  t=1255.3s cycles=4761
  t=1266s cycles=4804
  t=1276.8s cycles=4842
  t=1288.7s cycles=4891
  t=1299.1s cycles=4937
  t=1311.8s cycles=4972
  t=1322.6s cycles=5010
  t=1333.7s cycles=5052
  t=1345.2s cycles=5106
  t=1356.2s cycles=5155
  t=1367.1s cycles=5196
  t=1378.7s cycles=5244
  t=1390.1s cycles=5293
  t=1402.2s cycles=5345
  t=1413.8s cycles=5375
  t=1425.3s cycles=5406
  t=1436s cycles=5442
  t=1446.2s cycles=5467
  t=1458.1s cycles=5494
  t=1468.6s cycles=5519
  t=1480.7s cycles=5550
  t=1491.4s cycles=5583
  t=1504.4s cycles=5616
  t=1514.6s cycles=5641
  t=1527.3s cycles=5665
  t=1537.5s cycles=5690
  t=1551s cycles=5717
  t=1562.4s cycles=5743
  t=1576.5s cycles=5766
  t=1589s cycles=5799
  t=1602.2s cycles=5829
  t=1612.4s cycles=5852
  t=1626s cycles=5874
  t=1637.6s cycles=5905
  t=1650.6s cycles=5931
  t=1662.3s cycles=5958
  t=1675.9s cycles=5980
  t=1688.4s cycles=6011
  t=1699.2s cycles=6040
  t=1710.1s cycles=6063
  t=1720.1s cycles=6080
  t=1730.7s cycles=6106
  t=1740.9s cycles=6127
  t=1751.9s cycles=6153
  t=1762s cycles=6171
  t=1772.1s cycles=6192
  t=1783s cycles=6221
  t=1795.7s cycles=6249
  t=1809.6s cycles=6284
  t=1819.6s cycles=6309
  t=1830.3s cycles=6345
  t=1842.1s cycles=6388
  t=1853.1s cycles=6431
  t=1863.6s cycles=6465
  t=1874.1s cycles=6510
  t=1885.9s cycles=6556
  t=1897.2s cycles=6598
  t=1909.1s cycles=6638
  t=1919.5s cycles=6683
  t=1930.1s cycles=6724
  t=1942s cycles=6754
  t=1953.3s cycles=6780
  t=1963.9s cycles=6818
  t=1974.3s cycles=6860
  t=1985.8s cycles=6904
  t=1997.1s cycles=6945
  t=2008.8s cycles=6985
  t=2020.5s cycles=7033
  t=2033.1s cycles=7072
  t=2045.2s cycles=7107
  t=2057.3s cycles=7141
  t=2068.8s cycles=7186
