body diag: graph_backend=kuzu seconds=3600 stamp=20260705_194124
cycle rate (steady window): 2.79 cycles/s  (35 -> 10069 cycles over 3598.6s)
  t=10.7s cycles=35
  t=21.4s cycles=94
  t=32.4s cycles=143
  t=43s cycles=183
  t=54s cycles=219
  t=64.5s cycles=258
  t=75.9s cycles=314
  t=88.2s cycles=373
  t=99.1s cycles=411
  t=110.4s cycles=454
  t=121.5s cycles=497
  t=132s cycles=539
  t=143.5s cycles=577
  t=155.4s cycles=615
  t=166s cycles=660
  t=176.4s cycles=701
  t=188s cycles=741
  t=198.3s cycles=774
  t=209.3s cycles=817
  t=220.2s cycles=860
  t=230.8s cycles=899
  t=242.7s cycles=941
  t=253.2s cycles=996
  t=263.9s cycles=1043
  t=274s cycles=1093
  t=284.9s cycles=1134
  t=295.1s cycles=1181
  t=305.5s cycles=1231
  t=316.9s cycles=1282
  t=327s cycles=1325
  t=337.4s cycles=1371
  t=347.4s cycles=1419
  t=357.9s cycles=1470
  t=369.1s cycles=1513
  t=379.6s cycles=1562
  t=390.1s cycles=1612
  t=401.1s cycles=1667
  t=411.6s cycles=1713
  t=422.9s cycles=1757
  t=434.2s cycles=1810
  t=444.7s cycles=1860
  t=455.2s cycles=1905
  t=466.2s cycles=1953
  t=476.7s cycles=1991
  t=487.3s cycles=2030
  t=497.9s cycles=2064
  t=509.5s cycles=2097
  t=519.8s cycles=2127
  t=532.4s cycles=2158
  t=544.6s cycles=2200
  t=555.2s cycles=2233
  t=567.4s cycles=2266
  t=578.8s cycles=2309
  t=589.7s cycles=2347
  t=601.4s cycles=2381
  t=613.4s cycles=2413
  t=625s cycles=2453
  t=635.5s cycles=2491
  t=646.8s cycles=2527
  t=657.2s cycles=2557
  t=669.2s cycles=2590
  t=680.5s cycles=2632
  t=691.5s cycles=2667
  t=702.7s cycles=2702
  t=713.3s cycles=2732
  t=723.9s cycles=2763
  t=736s cycles=2801
  t=748.9s cycles=2842
  t=759.2s cycles=2873
  t=772.2s cycles=2905
  t=782.9s cycles=2944
  t=793.4s cycles=2981
  t=803.9s cycles=3013
  t=815.3s cycles=3044
  t=825.8s cycles=3080
  t=836.5s cycles=3117
  t=850.3s cycles=3152
  t=862.3s cycles=3177
  t=874.3s cycles=3200
  t=885.9s cycles=3227
  t=898.2s cycles=3259
  t=909.5s cycles=3293
  t=919.7s cycles=3327
  t=930.6s cycles=3373
  t=941.5s cycles=3416
  t=953.1s cycles=3463
  t=963.8s cycles=3497
  t=975s cycles=3532
  t=986.3s cycles=3575
  t=996.7s cycles=3617
  t=1006.9s cycles=3653
  t=1017.6s cycles=3691
  t=1027.9s cycles=3731
  t=1038.1s cycles=3767
  t=1048.8s cycles=3796
  t=1059.4s cycles=3825
  t=1069.9s cycles=3863
  t=1080.8s cycles=3895
  t=1091.5s cycles=3932
  t=1101.8s cycles=3965
  t=1113.6s cycles=3995
  t=1124.2s cycles=4038
  t=1135.2s cycles=4079
  t=1146.6s cycles=4108
  t=1156.6s cycles=4134
  t=1167.8s cycles=4173
  t=1179.4s cycles=4212
  t=1190.6s cycles=4257
  t=1201.4s cycles=4288
  t=1212s cycles=4323
  t=1222.6s cycles=4367
  t=1233.5s cycles=4411
  t=1244s cycles=4452
  t=1254.2s cycles=4495
  t=1265.3s cycles=4542
  t=1275.7s cycles=4592
  t=1286.9s cycles=4635
  t=1297.8s cycles=4676
  t=1308.7s cycles=4705
  t=1319.3s cycles=4748
  t=1329.9s cycles=4789
  t=1340.5s cycles=4826
  t=1351.9s cycles=4878
  t=1362.7s cycles=4927
  t=1373.5s cycles=4968
  t=1384.5s cycles=4994
  t=1395.4s cycles=5037
  t=1407.1s cycles=5075
  t=1418.1s cycles=5102
  t=1428.7s cycles=5132
  t=1438.8s cycles=5170
  t=1449.7s cycles=5197
  t=1460.9s cycles=5228
  t=1471.4s cycles=5265
  t=1483.6s cycles=5292
  t=1495s cycles=5328
  t=1507.1s cycles=5363
  t=1518s cycles=5392
  t=1528.2s cycles=5417
  t=1538.3s cycles=5455
  t=1549s cycles=5497
  t=1560.9s cycles=5534
  t=1571.8s cycles=5562
  t=1581.9s cycles=5598
  t=1592.3s cycles=5641
  t=1604.2s cycles=5679
  t=1614.8s cycles=5722
  t=1625.6s cycles=5748
  t=1635.8s cycles=5774
  t=1646.4s cycles=5811
  t=1657.6s cycles=5856
  t=1668.2s cycles=5892
  t=1679.2s cycles=5936
  t=1690.2s cycles=5983
  t=1701.1s cycles=6023
  t=1711.8s cycles=6049
  t=1723.4s cycles=6077
  t=1734.1s cycles=6118
  t=1744.3s cycles=6157
  t=1756.2s cycles=6200
  t=1767.8s cycles=6244
  t=1778.3s cycles=6293
  t=1789s cycles=6334
  t=1799.8s cycles=6377
  t=1810.1s cycles=6413
  t=1820.6s cycles=6458
  t=1831.7s cycles=6486
  t=1842s cycles=6509
  t=1852.7s cycles=6538
  t=1863.1s cycles=6576
  t=1874.7s cycles=6620
  t=1885.2s cycles=6667
  t=1896.1s cycles=6705
  t=1906.8s cycles=6740
  t=1917.6s cycles=6783
  t=1930s cycles=6825
