body diag: graph_backend=kuzu seconds=3600 stamp=20260706_155139
cycle rate (steady window): 4.00 cycles/s  (87 -> 14472 cycles over 3595.1s)
  t=10.7s cycles=87
  t=21.9s cycles=151
  t=32.9s cycles=210
  t=45.2s cycles=261
  t=56.2s cycles=326
  t=67.2s cycles=383
  t=78.3s cycles=442
  t=89.2s cycles=492
  t=99.6s cycles=545
  t=110s cycles=594
  t=120.5s cycles=642
  t=130.8s cycles=690
  t=141.8s cycles=745
  t=153.3s cycles=805
  t=163.8s cycles=857
  t=173.9s cycles=905
  t=184.7s cycles=962
  t=195.1s cycles=1019
  t=205.6s cycles=1069
  t=215.9s cycles=1115
  t=226.6s cycles=1168
  t=237.4s cycles=1223
  t=248s cycles=1271
  t=258.6s cycles=1321
  t=268.7s cycles=1373
  t=278.7s cycles=1420
  t=289.5s cycles=1471
  t=301s cycles=1518
  t=311.1s cycles=1571
  t=321.1s cycles=1627
  t=331.6s cycles=1681
  t=341.9s cycles=1726
  t=352.2s cycles=1779
  t=363.3s cycles=1838
  t=374.3s cycles=1893
  t=384.5s cycles=1937
  t=395.1s cycles=1988
  t=406s cycles=2040
  t=417.6s cycles=2094
  t=427.7s cycles=2133
  t=438.1s cycles=2185
  t=448.7s cycles=2235
  t=459.6s cycles=2286
  t=470.4s cycles=2321
  t=480.6s cycles=2364
  t=491.2s cycles=2413
  t=502.2s cycles=2465
  t=514.3s cycles=2512
  t=525.1s cycles=2559
  t=535.5s cycles=2608
  t=546.4s cycles=2656
  t=557.8s cycles=2704
  t=569.3s cycles=2759
  t=579.7s cycles=2812
  t=591.2s cycles=2865
  t=601.3s cycles=2909
  t=612.1s cycles=2959
  t=622.4s cycles=3007
  t=632.5s cycles=3060
  t=642.8s cycles=3104
  t=654.1s cycles=3151
  t=665.6s cycles=3211
  t=676.4s cycles=3270
  t=687.3s cycles=3318
  t=697.9s cycles=3365
  t=708.3s cycles=3414
  t=719.1s cycles=3463
  t=729.9s cycles=3511
  t=741.3s cycles=3560
  t=751.7s cycles=3612
  t=762.1s cycles=3657
  t=774s cycles=3703
  t=784.5s cycles=3754
  t=796s cycles=3802
  t=806.1s cycles=3850
  t=817.2s cycles=3895
  t=828.8s cycles=3944
  t=840s cycles=3998
  t=850.4s cycles=4045
  t=860.9s cycles=4088
  t=872.5s cycles=4134
  t=883.9s cycles=4190
  t=893.9s cycles=4224
  t=903.9s cycles=4224
  t=914.2s cycles=4265
  t=924.7s cycles=4312
  t=935.8s cycles=4364
  t=947.5s cycles=4407
  t=959.1s cycles=4458
  t=970.6s cycles=4511
  t=980.8s cycles=4558
  t=990.8s cycles=4595
  t=1000.8s cycles=4645
  t=1010.9s cycles=4692
  t=1022.1s cycles=4739
  t=1033.7s cycles=4785
  t=1045.2s cycles=4839
  t=1055.2s cycles=4884
  t=1067.1s cycles=4933
  t=1077.5s cycles=4975
  t=1087.9s cycles=5020
  t=1099.5s cycles=5072
  t=1109.7s cycles=5119
  t=1121s cycles=5163
  t=1131.4s cycles=5212
  t=1142.7s cycles=5263
  t=1152.7s cycles=5314
  t=1163.2s cycles=5356
  t=1173.7s cycles=5404
  t=1185.1s cycles=5460
  t=1196.4s cycles=5513
  t=1207.9s cycles=5559
  t=1218.6s cycles=5609
  t=1229.1s cycles=5657
  t=1241s cycles=5709
  t=1251.2s cycles=5754
  t=1262.6s cycles=5808
  t=1273.2s cycles=5857
  t=1284.9s cycles=5906
  t=1295.9s cycles=5948
  t=1307s cycles=5999
  t=1318s cycles=6052
  t=1328.6s cycles=6099
  t=1340s cycles=6137
  t=1350.1s cycles=6181
  t=1360.5s cycles=6226
  t=1371s cycles=6271
  t=1382.2s cycles=6309
  t=1393.1s cycles=6361
  t=1403.4s cycles=6407
  t=1414.2s cycles=6447
  t=1425.4s cycles=6493
  t=1437s cycles=6541
  t=1447.6s cycles=6588
  t=1458s cycles=6630
  t=1469.4s cycles=6672
  t=1481s cycles=6723
  t=1491.6s cycles=6770
  t=1501.7s cycles=6815
  t=1513.5s cycles=6859
  t=1523.6s cycles=6903
  t=1534.3s cycles=6950
  t=1545.7s cycles=7001
  t=1557.7s cycles=7048
  t=1569.5s cycles=7099
  t=1580.3s cycles=7146
  t=1591.4s cycles=7193
  t=1602.1s cycles=7229
  t=1613.6s cycles=7271
  t=1623.6s cycles=7318
  t=1634.1s cycles=7364
  t=1644.7s cycles=7405
  t=1654.8s cycles=7447
  t=1665.7s cycles=7494
  t=1676.1s cycles=7545
  t=1686.6s cycles=7586
  t=1698.1s cycles=7630
  t=1708.6s cycles=7679
  t=1719.1s cycles=7725
  t=1730.6s cycles=7768
  t=1741.8s cycles=7810
  t=1752.2s cycles=7857
  t=1762.4s cycles=7901
  t=1773.5s cycles=7943
  t=1783.7s cycles=7983
  t=1794s cycles=8032
  t=1804.4s cycles=8079
  t=1814.7s cycles=8122
  t=1826.5s cycles=8168
  t=1837.6s cycles=8213
  t=1848.1s cycles=8259
  t=1859.3s cycles=8303
  t=1870.9s cycles=8338
  t=1881.5s cycles=8382
  t=1893s cycles=8426
  t=1903.4s cycles=8471
  t=1913.6s cycles=8506
  t=1924.1s cycles=8554
  t=1934.1s cycles=8599
  t=1944.6s cycles=8642
  t=1955.2s cycles=8680
  t=1966.9s cycles=8727
  t=1977.2s cycles=8774
  t=1987.6s cycles=8818
  t=1999.7s cycles=8858
  t=2010.7s cycles=8909
  t=2022s cycles=8959
  t=2033s cycles=9010
  t=2044.2s cycles=9047
  t=2055.7s cycles=9095
  t=2066.2s cycles=9145
  t=2076.6s cycles=9187
  t=2087s cycles=9225
  t=2098.7s cycles=9270
  t=2109.6s cycles=9319
  t=2121.4s cycles=9360
  t=2132.1s cycles=9395
  t=2142.5s cycles=9432
  t=2153.9s cycles=9476
  t=2164.8s cycles=9518
  t=2176.8s cycles=9559
  t=2187.6s cycles=9602
  t=2198.7s cycles=9649
  t=2209.5s cycles=9697
  t=2220.8s cycles=9736
  t=2231.3s cycles=9781
  t=2241.9s cycles=9830
  t=2252.2s cycles=9877
  t=2264.2s cycles=9922
  t=2275.4s cycles=9976
  t=2286.1s cycles=10027
  t=2297s cycles=10072
  t=2307.7s cycles=10113
  t=2319.3s cycles=10157
  t=2329.7s cycles=10208
  t=2341.3s cycles=10256
  t=2351.4s cycles=10299
  t=2361.5s cycles=10340
  t=2371.9s cycles=10367
  t=2382.2s cycles=10411
  t=2393.4s cycles=10453
  t=2405s cycles=10499
  t=2415.6s cycles=10545
  t=2427.8s cycles=10589
  t=2439s cycles=10620
  t=2450.3s cycles=10649
  t=2460.9s cycles=10675
  t=2471s cycles=10702
  t=2481.2s cycles=10739
  t=2493.2s cycles=10777
  t=2503.6s cycles=10821
  t=2514.4s cycles=10864
  t=2524.7s cycles=10909
  t=2538.3s cycles=10948
  t=2549.6s cycles=10991
  t=2560.4s cycles=11024
  t=2572.5s cycles=11057
  t=2583.2s cycles=11083
  t=2595.4s cycles=11112
  t=2607.9s cycles=11154
  t=2619.6s cycles=11196
  t=2631.3s cycles=11230
  t=2643.3s cycles=11269
  t=2655.6s cycles=11305
  t=2667.9s cycles=11348
  t=2680.1s cycles=11387
  t=2690.6s cycles=11427
  t=2701s cycles=11470
  t=2711.3s cycles=11512
  t=2722s cycles=11547
  t=2732.8s cycles=11584
  t=2743.3s cycles=11627
  t=2753.9s cycles=11673
  t=2764.6s cycles=11707
  t=2775.3s cycles=11749
  t=2785.7s cycles=11784
  t=2796.9s cycles=11818
  t=2807.6s cycles=11852
  t=2819.8s cycles=11888
  t=2831.2s cycles=11937
