body diag: graph_backend=kuzu seconds=3600 stamp=20260705_094611
cycle rate (steady window): 3.22 cycles/s  (43 -> 11640 cycles over 3600.7s)
  t=2479s cycles=8750
  t=2491.7s cycles=8783
  t=2503.8s cycles=8820
  t=2516.4s cycles=8857
  t=2529.3s cycles=8887
  t=2541.4s cycles=8922
  t=2553.4s cycles=8960
  t=2565.4s cycles=8996
  t=2576.4s cycles=9024
  t=2588.1s cycles=9050
  t=2600.5s cycles=9083
  t=2612.8s cycles=9119
  t=2626s cycles=9153
  t=2638.5s cycles=9185
  t=2650.4s cycles=9216
  t=2661.4s cycles=9252
  t=2674.4s cycles=9283
  t=2687s cycles=9314
  t=2699.4s cycles=9345
  t=2711.8s cycles=9380
  t=2723s cycles=9413
  t=2736.4s cycles=9441
  t=2749s cycles=9474
  t=2760s cycles=9506
  t=2770.4s cycles=9535
  t=2783.6s cycles=9561
  t=2795.8s cycles=9595
  t=2808.4s cycles=9626
  t=2819.6s cycles=9660
  t=2830.2s cycles=9687
  t=2840.2s cycles=9708
  t=2851.2s cycles=9739
  t=2861.4s cycles=9765
  t=2873.4s cycles=9793
  t=2883.6s cycles=9821
  t=2896.2s cycles=9848
  t=2906.5s cycles=9881
  t=2918.9s cycles=9912
  t=2931.6s cycles=9941
  t=2941.6s cycles=9967
  t=2953s cycles=10000
  t=2965.2s cycles=10032
  t=2975.9s cycles=10060
  t=2986.1s cycles=10083
  t=2998.3s cycles=10115
  t=3010.6s cycles=10149
  t=3022.4s cycles=10182
  t=3035.4s cycles=10209
  t=3048.2s cycles=10238
  t=3060.5s cycles=10270
  t=3071.4s cycles=10304
  t=3081.6s cycles=10327
  t=3092.8s cycles=10353
  t=3105.3s cycles=10385
  t=3116.3s cycles=10419
  t=3129s cycles=10446
  t=3139.2s cycles=10474
  t=3151.6s cycles=10506
  t=3164.3s cycles=10542
  t=3175.3s cycles=10572
  t=3187.5s cycles=10599
  t=3200.4s cycles=10630
  t=3212.6s cycles=10667
  t=3225.1s cycles=10700
  t=3238.3s cycles=10729
  t=3248.4s cycles=10754
  t=3260.8s cycles=10785
  t=3271.6s cycles=10818
  t=3284.1s cycles=10847
  t=3295.2s cycles=10873
  t=3307.6s cycles=10902
  t=3319.9s cycles=10937
  t=3330.5s cycles=10969
  t=3341s cycles=10994
  t=3353.6s cycles=11022
  t=3365.7s cycles=11056
  t=3377.3s cycles=11090
  t=3390.6s cycles=11117
  t=3403.6s cycles=11148
  t=3415.2s cycles=11183
  t=3426.5s cycles=11211
  t=3436.7s cycles=11231
  t=3447.8s cycles=11255
  t=3460.6s cycles=11286
  t=3471.4s cycles=11318
  t=3483.4s cycles=11349
  t=3494.4s cycles=11375
  t=3507.3s cycles=11401
  t=3518s cycles=11429
  t=3528.6s cycles=11455
  t=3541.6s cycles=11479
  t=3552.6s cycles=11508
  t=3564.2s cycles=11536
  t=3575.7s cycles=11565
  t=3586s cycles=11587
  t=3598.1s cycles=11614
  t=3611.9s cycles=11640
body budget (last 3):
[body] budget ms/obs: physics=6.6 vision=4.7 views=7.3 audio=0.0 send=212.3
