body diag: graph_backend=kuzu seconds=3600 stamp=20260706_133200
cycle rate (steady window): 2.03 cycles/s  (80 -> 7294 cycles over 3550.8s)
  t=10.8s cycles=80
  t=20.9s cycles=138
  t=32.6s cycles=192
  t=43.3s cycles=236
  t=53.9s cycles=282
  t=64.6s cycles=336
  t=75.5s cycles=395
  t=87s cycles=443
  t=97.9s cycles=500
  t=108.2s cycles=561
  t=118.6s cycles=616
  t=129.5s cycles=659
  t=139.9s cycles=718
  t=150.3s cycles=772
  t=160.9s cycles=826
  t=172.3s cycles=873
  t=183.5s cycles=930
  t=194.1s cycles=984
  t=205.4s cycles=1037
  t=215.9s cycles=1083
  t=226.4s cycles=1136
  t=237.3s cycles=1194
  t=247.9s cycles=1249
  t=259.1s cycles=1294
  t=270.3s cycles=1354
  t=281s cycles=1413
  t=291.4s cycles=1467
  t=301.4s cycles=1508
  t=312.1s cycles=1564
  t=322.6s cycles=1620
  t=334.4s cycles=1679
  t=344.9s cycles=1726
  t=356.3s cycles=1785
  t=367.5s cycles=1844
  t=378s cycles=1896
  t=388.5s cycles=1939
  t=399.9s cycles=1996
  t=410.7s cycles=2050
  t=422.3s cycles=2108
  t=433s cycles=2151
  t=443.7s cycles=2201
  t=454.5s cycles=2252
  t=464.9s cycles=2300
  t=476.3s cycles=2344
  t=487s cycles=2396
  t=498.2s cycles=2449
  t=508.5s cycles=2500
  t=519.3s cycles=2540
  t=529.6s cycles=2585
  t=541.1s cycles=2637
  t=551.8s cycles=2694
  t=563.7s cycles=2739
  t=574.6s cycles=2795
  t=585s cycles=2846
  t=595.3s cycles=2897
  t=607.3s cycles=2941
  t=618.9s cycles=3000
  t=630.3s cycles=3059
  t=640.3s cycles=3111
  t=652.4s cycles=3152
  t=662.7s cycles=3189
  t=675.1s cycles=3227
  t=687.5s cycles=3269
  t=698.3s cycles=3306
  t=709.2s cycles=3340
  t=720.5s cycles=3381
  t=732.1s cycles=3421
  t=743.2s cycles=3451
  t=754.6s cycles=3479
  t=766s cycles=3512
  t=777.3s cycles=3554
  t=789.2s cycles=3588
  t=802.3s cycles=3624
  t=813.9s cycles=3665
  t=825.1s cycles=3696
  t=835.4s cycles=3726
  t=845.5s cycles=3754
  t=857.8s cycles=3786
  t=869.6s cycles=3824
  t=883.5s cycles=3845
  t=894.9s cycles=3862
  t=909.4s cycles=3880
  t=921.2s cycles=3901
  t=935.6s cycles=3923
  t=949.9s cycles=3947
  t=963.1s cycles=3966
  t=975.9s cycles=3991
  t=988.7s cycles=4014
  t=1003.4s cycles=4027
  t=1014.6s cycles=4045
  t=1027.2s cycles=4065
  t=1040.6s cycles=4088
  t=1054.3s cycles=4112
  t=1065.6s cycles=4129
  t=1078.3s cycles=4146
  t=1089.3s cycles=4172
  t=1104.1s cycles=4189
  t=1115.4s cycles=4204
  t=1129.8s cycles=4223
  t=1143.9s cycles=4243
  t=1155.7s cycles=4262
  t=1168.7s cycles=4281
  t=1180.7s cycles=4296
  t=1192.7s cycles=4323
  t=1203.9s cycles=4343
  t=1215.7s cycles=4362
  t=1228.3s cycles=4375
  t=1238.9s cycles=4402
  t=1253.6s cycles=4425
  t=1269.2s cycles=4449
  t=1282.2s cycles=4471
  t=1292.7s cycles=4493
  t=1306.9s cycles=4518
  t=1318.3s cycles=4537
  t=1330.1s cycles=4558
  t=1341.6s cycles=4574
  t=1353.2s cycles=4594
  t=1365.6s cycles=4607
  t=1376.9s cycles=4625
  t=1391s cycles=4648
  t=1403.3s cycles=4672
  t=1417.7s cycles=4693
  t=1431.2s cycles=4716
  t=1441.8s cycles=4738
  t=1455.1s cycles=4758
  t=1466.4s cycles=4781
  t=1479.4s cycles=4797
  t=1490.6s cycles=4820
  t=1501.2s cycles=4840
  t=1512.2s cycles=4859
  t=1524.6s cycles=4878
  t=1535.8s cycles=4898
  t=1547.6s cycles=4919
  t=1563.1s cycles=4944
  t=1574.1s cycles=4965
  t=1584.8s cycles=4982
  t=1598s cycles=5004
  t=1609.1s cycles=5027
  t=1620.3s cycles=5046
  t=1631.7s cycles=5066
  t=1643.5s cycles=5086
  t=1657.3s cycles=5098
  t=1668.4s cycles=5114
  t=1683s cycles=5130
  t=1694.2s cycles=5148
  t=1706.1s cycles=5164
  t=1717.4s cycles=5181
  t=1729.6s cycles=5198
  t=1742.4s cycles=5217
  t=1753.6s cycles=5236
  t=1768.5s cycles=5258
  t=1780.1s cycles=5279
  t=1793.9s cycles=5292
  t=1807.3s cycles=5321
  t=1818.9s cycles=5342
  t=1830.4s cycles=5359
  t=1842.1s cycles=5379
  t=1853.5s cycles=5400
  t=1864.5s cycles=5420
  t=1876.4s cycles=5438
  t=1887.4s cycles=5454
  t=1898.9s cycles=5473
  t=1910.3s cycles=5493
  t=1921.9s cycles=5511
  t=1933.7s cycles=5528
  t=1947.6s cycles=5546
  t=1958.9s cycles=5568
  t=1987s cycles=5598
  t=2000.8s cycles=5611
  t=2014.5s cycles=5630
  t=2025.5s cycles=5647
  t=2038.2s cycles=5658
  t=2053.1s cycles=5672
  t=2065s cycles=5692
  t=2076s cycles=5710
  t=2090.1s cycles=5728
  t=2101.4s cycles=5746
  t=2113s cycles=5762
  t=2124.5s cycles=5783
  t=2137.9s cycles=5802
  t=2152.2s cycles=5826
  t=2166.7s cycles=5847
  t=2178s cycles=5869
  t=2188.9s cycles=5888
  t=2200.3s cycles=5904
  t=2212.7s cycles=5918
  t=2223.8s cycles=5943
  t=2235s cycles=5961
